,Tiempo (H),Temperatura (°C)
0,0.0,2.0
1,0.06,4.24
2,0.12,6.41
3,0.18,8.52
4,0.24,10.56
5,0.3,12.54
6,0.36,14.47
7,0.42,16.34
8,0.48,18.15
9,0.55,19.9
10,0.61,21.61
11,0.67,23.26
12,0.73,24.86
13,0.79,26.42
14,0.85,27.93
15,0.91,29.39
16,0.97,30.82
17,1.03,32.19
18,1.09,33.53
19,1.15,34.83
20,1.21,36.09
21,1.27,37.31
22,1.33,38.49
23,1.39,39.64
24,1.45,40.76
25,1.52,41.84
26,1.58,42.89
27,1.64,43.91
28,1.7,44.9
29,1.76,45.85
30,1.82,46.78
31,1.88,47.69
32,1.94,48.56
33,2.0,49.41
34,2.06,50.23
35,2.12,51.03
36,2.18,51.81
37,2.24,52.56
38,2.3,53.29
39,2.36,54.0
40,2.42,54.68
41,2.48,55.35
42,2.55,55.99
43,2.61,56.62
44,2.67,57.23
45,2.73,57.82
46,2.79,58.39
47,2.85,58.95
48,2.91,59.49
49,2.97,60.01
50,3.03,60.52
51,3.09,61.01
52,3.15,61.49
53,3.21,61.95
54,3.27,62.4
55,3.33,62.83
56,3.39,63.26
57,3.45,63.67
58,3.52,64.07
59,3.58,64.45
60,3.64,64.83
61,3.7,65.19
62,3.76,65.54
63,3.82,65.88
64,3.88,66.22
65,3.94,66.54
66,4.0,66.85
67,4.06,67.15
68,4.12,67.45
69,4.18,67.73
70,4.24,68.01
71,4.3,68.28
72,4.36,68.54
73,4.42,68.79
74,4.48,69.03
75,4.55,69.27
76,4.61,69.5
77,4.67,69.73
78,4.73,69.94
79,4.79,70.15
80,4.85,70.36
81,4.91,70.56
82,4.97,70.75
83,5.03,70.94
84,5.09,71.12
85,5.15,71.29
86,5.21,71.46
87,5.27,71.63
88,5.33,71.79
89,5.39,71.94
90,5.45,72.1
91,5.52,72.24
92,5.58,72.38
93,5.64,72.52
94,5.7,72.66
95,5.76,72.78
96,5.82,72.91
97,5.88,73.03
98,5.94,73.15
99,6.0,73.27
